Name,Address,City,State,Zip Code,Phone,Facility Type,License Type,Capacity,Ages,Current Subsidy Provider
4 Rs Preschool,6745 Jefferson Street,HAYMARKET,VA,20169-2903,(703) 754-2497,Child Day Center,Two Year,26,3 years - 6 years 11 months,No
"A Blooming Child Petite Academy, LLC",300 W. Clay Street,RICHMOND,VA,23220,(804) 344-0072,Child Day Center,Two Year,35,1 month - 12 years 11 months,Yes
A Child's Day Learning Center,1601 Todds Lane,HAMPTON,VA,23666,(757) 826-8759,Child Day Center,Two Year,66,1 month - 12 years 11 months,Yes
A Child's Place Preschool & Child Care Centers Lucks Lane Campus,1211 Walton Bluff Parkway,MIDLOTHIAN,VA,23114,(804) 379-7632,Child Day Center,Two Year,291,1 month - 12 years 11 months,No
A Child's Place Preschool & Child Care Centers-Ridgefield Campus,11155 Ridgefield Parkway,HENRICO,VA,23233,(804) 740-1022,Child Day Center,Two Year,141,1 month - 12 years 11 months,No
A Child's Place at Hollin Hall,1500 Shenandoah Road,ALEXANDRIA,VA,22308,(703) 765-8811,Child Day Center,Two Year,172,2 years - 12 years 11 months,No
"A Heavenly Haven, Inc.",15435 #L Warwick Boulevard,NEWPORT NEWS,VA,23608,(757) 369-6082,Child Day Center,Provisional,83,1 month - 12 years 11 months,Yes
A Kid's Place,"248 Loudoun Street, SW",LEESBURG,VA,20175,(703) 777-9012,Child Day Center,Two Year,48,1 year 4 months - 12 years 11 months,No
"A Little Peace of Mind Daycare and Learning Center, Inc.",100 Arboretum Place,NORTH CHESTERFIELD,VA,23236,(804) 330-5025,Child Day Center,Two Year,125,Birth - 12 years 11 months,Yes
"A Little Piece of Heaven Day Care, Inc.",3500 New Kent Highway,QUINTON,VA,23141,(804) 932-4222,Child Day Center,Two Year,63,1 month - 12 years 11 months,No
A New World of Learning LLC Bilingual Academy,1640 Michigan Avenue,VIRGINIA BEACH,VA,23454,(757) 756-4274,Child Day Center,Two Year,30,1 year - 12 years 11 months,No
A Plus Kids Fun and Creative Learning Center LLC,"925 North Garfield Street, Suite D",ARLINGTON,VA,22201,(571) 312-1912,Child Day Center,Two Year,60,2 months - 5 years 11 months,No
A Rising Star Child Care LLC,7617 Little River Turnpike,ANNANDALE,VA,22003,(571) 282-4204,Child Day Center,Two Year,88,2 months - 6 years 11 months,No
A+ Childcare & Learning Center,3510 George Washington Memorial Hwy,YORKTOWN,VA,23693,(757) 867-8003,Child Day Center,Two Year,177,1 month - 12 years 11 months,No
ACAC Preschool at Adventure Central,200 Four Seasons Drive,CHARLOTTESVILLE,VA,22901,(434) 978-7529,Child Day Center,Two Year,142,2 years - 6 years 11 months,No
ACCA Child Development Center,"7200 Columbia Pike
and 4175 Daniels Aveue",ANNANDALE,VA,22003,(703) 256-0100,Child Day Center,Two Year,290,Birth - 12 years 11 months,Yes
ALIVE! Child Development Center,2723 King Street,ALEXANDRIA,VA,22302,(703) 548-9255,Child Day Center,Two Year,32,3 years - 5 years 11 months,Yes
ARLINGTON P&R- CARLIN HALL PS & TOT CAMP,5711 S. 4th Street,ARLINGTON,VA,22204,(703) 379-1390,Child Day Center,Two Year,20,3 years - 5 years 11 months,No
AUMC Child Development Center,6935 Columbia Pike,ANNANDALE,VA,22003,(703) 256-5244,Child Day Center,Two Year,73,3 months - 5 years 11 months,No
Abby's Ark Early Learning Center,601 Washington Street,PORTSMOUTH,VA,23704,(757) 393-5818,Child Day Center,Two Year,42,2 years - 12 years 11 months,Yes
Abingdon Child Development Center,152 Highland Street,ABINGDON,VA,24210,(276) 628-9932,Child Day Center,Two Year,60,3 years - 5 years 11 months,No
Abingdon Child Development Center-Early Head Start,152 Highland Street,ABINGDON,VA,24210,(276) 628-4969,Child Day Center,Two Year,20,1 month - 3 years 11 months,No
Abracadabra Child Care & Developement center,700 Commonwealth Avenue,ALEXANDRIA,VA,22301,(703) 548-7796,Child Day Center,Two Year,76,1 year 8 months - 5 years 11 months,No
Abundant Love Child Development Center,1543 Holly Grove Drive,BUMPASS,VA,23024,(804) 556-6810,Child Day Center,Two Year,40,1 month - 12 years 11 months,Yes
Abundant Love Learning Center - Louisa,522 Industrial Drive,LOUISA,VA,23093,(540) 967-4427,Child Day Center,Two Year,32,1 year 6 months - 9 years 11 months,Yes
Academy of Christian Education,"10800 Parkridge Boulevard
Suite 150",RESTON,VA,20190,(703) 471-2132,Child Day Center,Two Year,147,2 years 6 months - 12 years 11 months,No
Accotink Academy Preschool,6215 Rolling Road,SPRINGFIELD,VA,22152,(703) 451-5797,Child Day Center,Two Year,150,2 years 9 months - 6 years 11 months,No
Adams International School,1655 Broad Street Road,MAIDENS,VA,23102,(804) 784-0141,Child Day Center,Two Year,56,2 years 6 months - 12 years 11 months,No
Advent Christian Child Care Center,8079 Studley Road,MECHANICSVILLE,VA,23116,(804) 746-0279,Child Day Center,Two Year,188,2 years - 12 years 11 months,Yes
Adventureland - Hylton Boys and Girls Club,5070 Dale Boulevard,WOODBRIDGE,VA,22193,(703) 670-3311,Child Day Center,Two Year,240,5 years - 12 years 11 months,Yes
Al Fatih Academy,12300 Pinecrest Road,RESTON,VA,20191,(703) 437-9382,Child Day Center,Two Year,40,2 years 6 months - 12 years 11 months,No
Albemarle Montessori Children's Community,1550-1554 Insurance Lane,CHARLOTTESVILLE,VA,22911,(434) 244-2471,Child Day Center,Two Year,82,2 years - 12 years 11 months,No
Albert Harris Elementary Boys & Girls Clubs Afterschool Program,710 Smith Road,MARTINSVILLE,VA,24112,(276) 806-8264,Child Day Center,Two Year,200,5 years - 12 years 11 months,Yes
Aldersgate Day School,1301 Collingswood Road,ALEXANDRIA,VA,22308,(703) 768-8351,Child Day Center,Two Year,150,1 year - 5 years 11 months,No
Aldersgate New Creation Kinderprep,4320 Bruce Road,CHESAPEAKE,VA,23321,(757) 673-4602,Child Day Center,Two Year,160,2 years 6 months - 7 years 11 months,No
Alexandria Academy of Fine Arts and Science,425 S. Washington Street,ALEXANDRIA,VA,22314,(703) 447-0763,Child Day Center,Two Year,13,1 year 6 months - 12 years 11 months,No
Alexandria Country Day School,2400 Russell Road,ALEXANDRIA,VA,22301,(703) 548-4804,Child Day Center,Two Year,50,5 years - 12 years 11 months,No
All Aboard Child Development Center,7147 Stonewall Parkway,MECHANICSVILLE,VA,23111,(804) 559-0101,Child Day Center,Two Year,75,1 month - 7 years 11 months,No
All About Children,931 GlenRock Road,NORFOLK,VA,23502,(757) 455-9665,Child Day Center,Two Year,119,1 month - 12 years 11 months,Yes
All About Children Learning Center,1025 Newtown Road,NORFOLK,VA,23502,(757) 995-2085,Child Day Center,Two Year,40,2 years 6 months - 12 years 11 months,Yes
All Saints School Extended Day & Pre-Kindergarten Program,9294 Stonewall Road,MANASSAS,VA,20110-2545,(703) 368-4400,Child Day Center,Two Year,150,4 years - 12 years 11 months,No
Alleghany Highlands YMCA Central Learning Center,100 Gleason Drive,COVINGTON,VA,24426,(540) 862-0488,Child Day Center,Two Year,100,1 month - 12 years 11 months,Yes
Alleghany Highlands YMCA West Early Learning Center,515 E. Pine Street,COVINGTON,VA,24426,(540) 965-9622,Child Day Center,Two Year,133,1 month - 12 years 11 months,Yes
